datetime,preciptype,sunrise,sunset,conditions,description,icon,stations
2024-07-17,,2024-07-17T06:05:54,2024-07-17T21:47:16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07157099999,C1292,07147099999,07150099999"
2024-07-18,,2024-07-18T06:07:01,2024-07-18T21:46:16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-07-19,,2024-07-19T06:08:10,2024-07-19T21:45:14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-07-20,,2024-07-20T06:09:19,2024-07-20T21:44:10,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,LFPV,07145099999,07153099999,07157099999,C1292,07147099999,LFPO,07150099999,LFPB"
2024-07-21,rain,2024-07-21T06:10:30,2024-07-21T21:43:04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-07-22,rain,2024-07-22T06:11:42,2024-07-22T21:41:55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-07-23,rain,2024-07-23T06:12:55,2024-07-23T21:40:44,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"07149099999,07156099999,07146099999,LFPV,07157099999,C1292,07147099999,LFPO,07150099999,LFPB"
2024-07-24,rain,2024-07-24T06:14:09,2024-07-24T21:39:32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-07-25,rain,2024-07-25T06:15:24,2024-07-25T21:38:17,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-07-26,rain,2024-07-26T06:16:40,2024-07-26T21:37:00,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-07-27,rain,2024-07-27T06:17:57,2024-07-27T21:35:41,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-07-28,rain,2024-07-28T06:19:14,2024-07-28T21:34:20,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-07-29,,2024-07-29T06:20:32,2024-07-29T21:32:57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-07-30,,2024-07-30T06:21:51,2024-07-30T21:31:33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-07-31,rain,2024-07-31T06:23:10,2024-07-31T21:30:06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,LFPV,07157099999,C1292,07147099999,LFPO,07150099999,LFPB"
2024-08-01,rain,2024-08-01T06:24:30,2024-08-01T21:28:38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-08-02,rain,2024-08-02T06:25:51,2024-08-02T21:27:08,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"07149099999,07156099999,07146099999,LFPV,07157099999,C1292,07147099999,LFPO,07150099999,LFPB"
2024-08-03,rain,2024-08-03T06:27:12,2024-08-03T21:25:37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,LFPV,07157099999,C1292,07147099999,LFPO,07150099999,LFPB"
2024-08-04,,2024-08-04T06:28:33,2024-08-04T21:24:04,Overcast,Cloudy skies throughout the day.,cloudy,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-08-05,,2024-08-05T06:29:55,2024-08-05T21:22:29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-08-06,,2024-08-06T06:31:17,2024-08-06T21:20:53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-08-07,rain,2024-08-07T06:32:40,2024-08-07T21:19:15,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-08-08,,2024-08-08T06:34:03,2024-08-08T21:17:36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-08-09,rain,2024-08-09T06:35:26,2024-08-09T21:15:55,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-08-10,,2024-08-10T06:36:49,2024-08-10T21:14:13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-08-11,,2024-08-11T06:38:13,2024-08-11T21:12:29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,LFPV,07157099999,C1292,07147099999,LFPO,07150099999,LFPB"
2024-08-12,,2024-08-12T06:39:37,2024-08-12T21:10:45,Clear,Clear conditions throughout the day.,clear-day,"LFPV,C1292,LFPO,07147099999,LFPB"
2024-08-13,,2024-08-13T06:41:01,2024-08-13T21:08:59,Overcast,Cloudy skies throughout the day.,cloudy,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-08-14,rain,2024-08-14T06:42:25,2024-08-14T21:07:11,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-08-15,,2024-08-15T06:43:50,2024-08-15T21:05:23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
